Model,Convolution,Base,Weights,Trial,Seed,Set,Noise,LI,Level,Loss,Accuracy
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,6,0.6,3564932.25,0.0971
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,7,0.7,3919513.25,0.0961
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,8,0.8,4301020,0.1007
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,9,0.9,4770122.5,0.1042
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Salt and Pepper,10,1,5456105,0.0991
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,0,100,0.530564547,0.8637
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,1,63.09573445,0.535741806,0.8597
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,2,39.81071706,0.552139521,0.8564
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,3,25.11886432,0.592531443,0.844
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,4,15.84893192,0.641846836,0.8245
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,5,10,0.76169163,0.7826
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,6,6.309573445,1.117522359,0.6739
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,7,3.981071706,1.8027457,0.4599
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,8,2.511886432,2.306627512,0.3056
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,9,1.584893192,2.544737339,0.2355
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,High Pass,10,1,2.492563248,0.2447
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,0,1,0.548385143,0.8654
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,1,1.584893192,0.56062454,0.8631
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,2,2.511886432,0.575838923,0.8505
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,3,3.981071706,0.769192338,0.769
RIB (N=4),Gabor,VGG16,None,1,42,CIFAR10,Low Pass,4,6.309573445,2.324155569,0.4182
